H01-1001.1,Oral communication
P04-2005.18,standard WSD datasets
P04-2010.1,ensemble learning approach
P04-2010.2,German pronouns
P04-2010.3,Boosting
P04-2010.4,hypotheses
P04-2010.5,classifiers 
P04-2010.6,decision-tree classifier
P04-2010.7, standalone system 
P04-2010.8,pronouns
P04-2010.9,unannotated text 
P04-2010.10,preprocessing modules
P04-2010.11,manual annotation process
P04-2010.12,textual domain
P04-2010.13,open-domain question answering
P04-2010.14, text summarisation
C04-1035.1,machine learning approach
C04-1035.2, bare slice disambiguation 
C04-1035.3,dialogue
C04-1035.4,heuristic principles 
C04-1035.5,corpus-based sample
C04-1035.6,probabilistic Horn clauses
C04-1035.7,clauses 
C04-1035.8,domain independent features
C04-1035.9,input dataset
C04-1035.10,machine learning algorithms 
C04-1035.11,rule-based learning algorithm
C04-1035.12,memory-based system
C04-1035.13,success rates 
C04-1035.14,features
C04-1035.15,heuristic principles
C04-1035.16,rules
C04-1035.17,Horn clauses 
C04-1035.18,features
C04-1036.1,evaluation criterion
C04-1036.2, word similarity measures
C04-1036.3,meaning-entailing substitutability 
C04-1036.4,semantic-oriented NLP applications
C04-1036.5,human agreement
C04-1036.6,semantic criterion
C04-1036.7,distributional word feature vectors
C04-1036.8,word similarity results
C04-1036.9,feature vector quality
C04-1036.10,feature weighting and selection function 
C04-1036.11,feature vectors
C04-1036.12,word similarity performance
C04-1068.1,electronic discussions 
C04-1068.2,help-desk applications
C04-1068.3,summaries
C04-1068.4,features
C04-1068.5, electronic discussions 
C04-1068.6,clustering process
C04-1068.7,filtering mechanism 
C04-1068.8,influences
C04-1068.9,clustering and filtering processes 
C04-1068.10,electronic newsgroup discussions
C04-1068.11,performance 
C04-1068.12,coarse-level clustering
C04-1068.13,information retrieval
C04-1080.1,context
C04-1080.2,word 
C04-1080.3,unsupervised and supervised case
C04-1080.4, unsupervised methods for part-of-speech tagging
C04-1080.5,corpora
C04-1080.6,lexicons
C04-1080.7,quality
C04-1080.8,lexicon
C04-1080.9,accuracy
C04-1080.10, algorithms
C04-1080.11,HMM training
C04-1080.12,accuracy 
C04-1080.13,training
C04-1080.14,lexical probabilities 
C04-1080.15,supervised, non-training intensive framework
C04-1096.1,referring expressions
C04-1096.2,objects 
C04-1096.3,binary relations
C04-1096.4,objects
C04-1096.5,objects
C04-1096.6,objects
C04-1096.7,n-ary relations 
C04-1096.8,objects
C04-1096.9,referring expressions 
C04-1096.10,generation algorithm
C04-1103.1,Machine transliteration/back-transliteration
C04-1103.2,multilingual speech and language applications
C04-1103.3,machine transliteration/backtransliteration 
C04-1103.4,direct orthographical mapping (DOM)
C04-1103.5,languages
C04-1103.6,joint source-channel transliteration model
C04-1103.7,n-gram transliteration model (n-gram TM)
C04-1103.8,transliteration process
C04-1103.9,transliteration/backtransliteration experiments
C04-1103.10,English/Chinese and English/Japanese language pairs
C04-1103.11,system development effort 
C04-1103.12,transliteration accuracy
C04-1112.1,corpus-based supervised word sense disambiguation (WSD) system 
C04-1112.2,Dutch
C04-1112.3,statistical classification 
C04-1112.4,maximum entropy
C04-1112.5,linguistic information
C04-1112.6,classifiers 
C04-1112.7,ambiguous wordform
C04-1112.8, lemma-based approach
C04-1112.9,inflected forms 
C04-1112.10,ambiguous word
C04-1112.11, classifier
C04-1112.12,training material
C04-1112.13,algorithm
C04-1112.14,lemma-based model 
C04-1112.15,Dutch Senseval-2 test data
C04-1112.16,accuracy
C04-1112.17,wordform model
C04-1112.18,WSD system based on lemmas
C04-1116.1,text mining method
C04-1116.2, synonymous expressions 
C04-1116.3,distributional hypothesis
C04-1116.4,corpora
C04-1116.5,accuracy 
C04-1116.6,term aggregation system
C04-1116.7,text 
C04-1116.8,corpus
C04-1116.9,expression
C04-1116.10, meaning
C04-1116.11,words
C04-1116.12,similar context features 
C04-1116.13,corpus
C04-1116.14, synonymous expressions
C04-1116.15,accuracy
C04-1116.16,term aggregation system
C04-1128.1,sentence extraction
C04-1128.2, summarization 
C04-1128.3,documents
C04-1128.4,genres
C04-1128.5,email communication 
C04-1128.6,utterances
C04-1128.7,sentence extraction 
C04-1128.8,segments
C04-1128.9, dialogue 
C04-1128.10,summary
C04-1128.11,question-answer pairs
C04-1128.12,email conversation 
C04-1128.13,email summarization
C04-1128.14,features 
C04-1128.15,lexical similarity 
C04-1128.16,discourse segments
C04-1128.17,question-answer pairing
C04-1147.1,computation
C04-1147.2, lexical affinity models
C04-1147.3,co-occurrence distribution 
C04-1147.4,terms
C04-1147.5,independence model
C04-1147.6,parametric affinity model
C04-1147.7,models
C04-1147.8,similarity 
C04-1147.9,words
C04-1147.10,lexical affinity 
C04-1147.11,sequential models
C04-1147.12,models 
C04-1147.13,co-occurrence patterns
C04-1147.14,words 
C04-1147.15,phrases
C04-1147.16, corpus
C04-1147.17,adaptation
C04-1147.18,applications 
C04-1147.19,terabyte corpus 
C04-1147.20,natural language tests
C04-1192.1,word sense disambiguation
C04-1192.2,parallel corpora
C04-1192.3,word alignment 
C04-1192.4,word clustering
C04-1192.5,automatic extraction 
C04-1192.6,translation equivalents
C04-1192.7,wordnets 
C04-1192.8,languages
C04-1192.9,corpus
C04-1192.10,wordnets 
C04-1192.11,Princeton Wordnet
C04-1192.12,EuroWordNet
C04-1192.13,WSD system
C04-1192.14, alignment errors 
C04-1192.15,multilingually aligned wordnets
C04-1192.16, BalkaNet 
C04-1192.17,EuroWordNet
N04-1022.1,Minimum Bayes-Risk (MBR) decoding
N04-1022.2, statistical machine translation
N04-1022.3,expected loss 
N04-1022.4,translation errors
N04-1022.5,loss functions 
N04-1022.6,translation performance
N04-1022.7,loss functions 
N04-1022.8,linguistic information 
N04-1022.9,word strings
N04-1022.10,word-to-word alignments 
N04-1022.11,MT system
N04-1022.12,syntactic structure 
N04-1022.13,parse-trees
N04-1022.14,source and target language sentences
N04-1022.15,performance
N04-1022.16,MBR decoders 
N04-1022.17,Chinese-to-English translation task
N04-1022.18,MBR decoding 
N04-1022.19,statistical MT performance
N04-1022.20,loss functions
N04-4028.1,Information extraction techniques
N04-4028.2,structured databases
N04-4028.3, unstructured data sources
N04-4028.4,newswire documents
N04-4028.5,accuracy
N04-4028.6,confidence 
N04-4028.7,extracted field
N04-4028.8,information extraction system 
N04-4028.9,linear-chain conditional random field (CRF)
N04-4028.10,probabilistic model
N04-4028.11,information extraction tasks 
N04-4028.12,features
N04-4028.13,input
N04-4028.14,Markov model
N04-4028.15,confidence
N04-4028.16,extracted fields 
N04-4028.17,multi-field records
N04-4028.18,average precision 
N04-4028.19,fields
M92-1025.1,GE NLToolset
M92-1025.2,text interpretation tools 
M92-1025.3,domains
M92-1025.4,MUC-4 task
P05-1028.1,corpus study
P05-1028.2,information graphic
P05-1028.3,graphic interpretation system 
P05-1028.4,communicative signals
P05-1028.5,shallow processing
P05-1028.6,sight-impaired users
P05-1028.7,information graphics
P05-1057.1,word alignment
P05-1057.2, log-linear models
P05-1057.3,knowledge sources
P05-1057.4,feature functions
P05-1057.5,source langauge sentence
P05-1057.6,target language sentence
P05-1057.7,Log-linear models
P05-1057.8,statistical alignment models 
P05-1057.9,syntactic information
P05-1057.10,IBM Model 3 alignment probabilities
P05-1057.11,POS correspondence
P05-1057.12,bilingual dictionary coverage 
P05-1057.13,features
P05-1057.14, log-linear models 
P05-1057.15,IBM translation models
P05-2013.1,Combinatory Categorial Grammar (CCG) lexicon 
P05-2013.2,Turkish dependency treebank
P05-2013.3,Turkish 
P05-2013.4,agglutinating free word order language
P05-2013.5,language theories
P05-2013.6,compact lexicon
P05-2013.7,CCG principles
P05-2013.8,treebank
P05-2013.9,Penn WSJ
I05-2044.1,Chinese language
I05-2044.2,verb
I05-2044.3,dependents
I05-2044.4,ambiguity resolution 
I05-2044.5,right-side dependencies
I05-2044.6, dependency parsing 
I05-2044.7,sentences
I05-2044.8,verbs
I05-2044.9,shift-reduce dependency parsers
I05-2044.10,connectivity 
I05-2044.11,dependency tree
I05-2044.12,right-side dependencies
I05-2044.13, two-phase shift-reduce dependency parser 
I05-2044.14,SVM learning
I05-2044.15,left-side dependents 
I05-2044.16,right-side nominal dependents
I05-2044.17,right-side verbal dependents 
I05-2044.18,shift-reduce dependency parsers 
I05-2044.19,Chine language
I05-2044.20,dependency accuracy 
E99-1038.1,focus
E99-1038.2,discourse
E99-1038.3,discourse model
E99-1038.4,knowledge store 
E99-1038.5,decomposition
E99-1038.6, formal representation 
E99-1038.7,determination process
E99-1038.8,FDA
E99-1038.9,focus
E99-1038.10, FDA 
E99-1038.11,discourse-level construct
E99-1038.12,speech synthesis systems
E99-1038.13,concept-to-speech systems
E87-1037.1,grammatical formalisms
E87-1037.2,context-free phrase-structure grammar
E87-1037.3,LFG
E87-1037.4,PATR-II
E87-1037.5,chart-parsing framework
E87-1037.6,formalisms
E87-1037.7,optimal control strategy
E87-1037.8,rule-invocation strategy
E87-1037.9,processing efficiency
E87-1037.10,rules
E87-1037.11,rule-invocation strategies 
E87-1037.12,context-free chart parsing
E91-1043.1,model of grammatical processing
E91-1043.2,uniform processing
E91-1043.3,knowledge sources
E91-1043.4,feature
E91-1043.5,parsing 
E91-1043.6,generation
E91-1043.7,parametrized deduction
E91-1043.8,natural language processing
E93-1023.1,words
E93-1023.2,constituent parts
E93-1023.3,ambiguity
E93-1023.4,generation 
E93-1023.5,analyses
E93-1023.6,input word
E93-1023.7, ambiguity
E93-1023.8,MORphological PArser MORPA
E93-1023.9,probabilistic context-free grammar (PCFG)
E93-1023.10,"conventional" context-free morphological grammar 
E93-1023.11,ungrammatical segmentations
E93-1023.12,probability-based scoring function 
E93-1023.13,parse
E93-1023.14,analyses
E93-1023.15,PCFG
E93-1023.16,morphological parsing
E93-1023.17,MORPA
E93-1023.18,parser
E93-1023.19,text-to-speech conversion system
I05-3022.1,word segmentation system
I05-3022.2,word breaking
I05-3022.3,OOV identification
I05-3022.4,output
I05-3022.5,segmentation standards
I05-3022.6,system
I05-3022.7,segmentation bakeoff
I05-3022.8, PK-open
I05-3022.9,PK-closed
I05-3022.10, AS-open
I05-3022.11,AS-closed
I05-3022.12, HK-open
I05-3022.13,HK-closed
I05-3022.14,MSR-open
I05-3022.15,MSR- closed 
I05-3022.16,state-of-the-art performance
I05-3022.17,MSR-open
I05-3022.18,MSR-close
I05-3022.19,PK-open 
I05-3022.20,scores
E93-1043.1,morphological component
E93-1043.2,derived words
E93-1043.3,two-level morphology
E93-1043.4,feature-based word grammar
E93-1043.5,hierarchical lexicon
E93-1043.6,Polymorphemic stems
E93-1043.7,lexicon
E93-1043.8, compositional interpretation
E93-1043.9,lexicon 
E93-1043.10,derived words
E93-1043.11,words formed ad-hoc
E93-1043.12,German derivation
E99-1014.1,full parsing
E99-1014.2,Information Extraction 
E99-1014.3,texts
E99-1014.4,rules 
E99-1014.5,text
E99-1014.6, unambiguous structures
E99-1014.7,chunks
E99-1014.8,argumental relations 
E99-1014.9,modifier attachment
E99-1014.10,global parse tree 
E99-1014.11,languages
E99-1014.12,domains
E99-1014.13,IE module 
E99-1014.14,FACILE, a EU project for multilingual text classification and IE
H91-1010.1,Lincoln CSR system
H91-1010.2,semiphone modeling
H91-1010.3,duration model 
H91-1010.4,error rate
H91-1010.5,triphone and semiphone systems
H91-1010.6,training strategy 
H91-1010.7,recognizer 
H91-1010.8,bigram back-off language models
H91-1010.9,RM task
H91-1010.10,ATIS CSR task 
H91-1010.11,RM and ATIS CSR tasks
A97-1020.1,GLOSSER
A97-1020.2,language
A97-1020.3,language pairs
A97-1020.4,GLOSSER
A97-1020.5,English-Bulgarian
A97-1020.6,English-Estonian
A97-1020.7,English-Hungarian 
A97-1020.8,French-Dutch
A97-1020.9, Applied Natural Language Processing 
A97-1020.10,intelligent computer-assisted morphological analysis (ICALL)
A97-1020.11,disambiguated morphological analysis 
A97-1020.12,lemmatized indexing
A97-1020.13,aligned bilingual corpus 
A97-1020.14,word examples
A97-1042.1,topics
A97-1042.2,texts 
A97-1042.3,text
A97-1042.4,training 
A97-1042.5,Optimal Position Policy
A97-1042.6,topic-bearing sentences
A97-1042.7,genre-specific regularities 
A97-1042.8,discourse structure
A97-1042.9,information retrieval
A97-1042.10,routing
A97-1042.11,text summarization
H05-1064.1,NLP structures 
H05-1064.2,reranking approaches
H05-1064.3,conditional log-linear model
H05-1064.4,hidden variables 
H05-1064.5,assignment
H05-1064.6,lexical items 
H05-1064.7,word clusters
H05-1064.8,word senses
H05-1064.9,assignments
H05-1064.10,discriminative training criterion
H05-1064.11,Training
H05-1064.12,decoding 
H05-1064.13,hidden-variable assignments
H05-1064.14,dynamic programming
H05-1064.15,parse reranking
H05-1064.16,F-measure improvement 
H05-1064.17,base parser
H05-1064.18,Collins (2000) reranker
H05-1064.19,parsing
H05-1064.20,NLP structures 
H05-1064.21,parse trees
I05-4008.1,Taiwan Child Language Corpus
I05-4008.2,scripts
I05-4008.3,recordings 
I05-4008.4,Southern Min Chinese
I05-4008.5,corpus
I05-4008.6,Child Language Data Exchange System (CHILDES)
I05-4008.7,corpus 
I05-4008.8,words
I05-4008.9,data collection
I05-4008.10,transcription
I05-4008.11,word segmentation
I05-4008.12,part-of-speech annotation 
I05-4008.13,corpus
I05-4008.14, corpus 
P81-1032.1,natural language interpretation
P81-1032.2,semantic domain models
P81-1032.3,fail-soft recovery heuristics
P81-1032.4,control structures
P81-1032.5,single-strategy parsers 
P81-1032.6,multi-strategy approach
P81-1032.7,task-specific domain knowledge 
P81-1032.8,general linguistic knowledge
P81-1032.9,grammatical and ungrammatical input
P81-1032.10,parsing algorithm 
P81-1032.11,parsing strategies
P81-1032.12,case-frame instantiation
P81-1032.13,parsing strategies 
P81-1032.14,types of knowledge
P81-1032.15,conjunctions
P81-1032.16,fragmentary input
P81-1032.17,ungrammatical structures
P81-1032.18,grammatically correct input
P81-1032.19,specific heuristics
P81-1032.20, ungrammatical input 
P81-1032.21,multi-strategy framework
P85-1015.1,location of a constituent
P85-1015.2,discontinuous locations
P85-1015.3, discontinuous constituents 
P85-1015.4,non-configurational languages
P85-1015.5, discontinuous constituents 
P85-1015.6,definite clause grammars
P85-1015.7,grammars 
P85-1015.8,proof procedure
P85-1015.9,parser for non-configurational languages
P91-1016.1,context-sensitive, phrase structure grammar 
P91-1016.2,best-path, bottom-up, deterministic parser
P91-1016.3,grammar 
P91-1016.4,English news stories
P91-1016.5,parsing 
P91-1016.6,CSG
P91-1016.7,phrase structure grammar 
P91-1016.8,news story text
P95-1027.1,corpus-based study
P95-1027.2,linguistics literature 
P95-1027.3,semantically unmarked term
P95-1027.4,antonymous adjectives
P95-1027.5,term
P95-1027.6,automatically collected data
P95-1027.7,accuracy
P95-1027.8,statistical analysis
P95-1027.9,text frequency
P95-1027.10,generic statistical learning methods 
P95-1027.11,complex learning method
P97-1015.1,machine translation systems
P97-1015.2,language pair
P97-1015.3,black-box method
P97-1015.4,lexical coverage
P97-1015.5,MT systems
P97-1015.6,words
P97-1015.7,frequency classes
P97-1015.8, word lists 
P97-1015.9,MT systems 
P97-1015.10,English
P97-1015.11, German
P97-1052.1,abstract flat syntactic representations, LFG f-structures
P97-1052.2,underspecified semantic representations, here Underspecified Discourse Representation Structures (UDRSs)
P97-1052.3,one-to-one correspondence 
P97-1052.4,LFG
P97-1052.5,UDRS
P97-1052.6,model theoretic interpretation
P97-1052.7,inferential component 
P97-1052.8,underspecified representations
P97-1052.9,f-structures 
P97-1052.10,translation images
P97-1052.11, f-structures 
P97-1052.12,UDRSs
P99-1025.1,dialog management system 
P99-1025.2,Construct Algebra
P99-1025.3,collection of relations and operations 
P99-1025.4,task representation
P99-1025.5,relations and operations 
P99-1025.6,analytical components
P99-1025.7,dialog motivators
P99-1025.8,dialog manager
P99-1025.9,collection of dialog motivators
P99-1025.10,Construct Algebra
P99-1068.1,STRAND
P99-1068.2,language-independent system
P99-1068.3,automatic discovery of text 
P99-1068.4,parallel translation
P99-1068.5,STRAND
P99-1068.6,automatic language identification
P99-1068.7,automatically acquired parallel corpus
P99-1068.8,English-French document pairs
P99-1068.9,words 
P99-1068.10,language
L08-1260.1,lexicon grammar for Polish (SyntLex)
L08-1260.2,computer-assisted acquisition and morpho-syntactic description of verb-noun collocations 
L08-1260.3,Polish
L08-1260.4,dictionary-based acquisition
L08-1260.5,collocation lexicon
L08-1260.6,corpus-based lexicon enlargement 
L08-1260.7,corpus-based lexicon enlargement
L08-1260.8, collocation description
L08-1260.9,corpus-based approach
L08-1260.10,verb-noun collocation dictionary for Polish
L08-1260.11,SyntLex Dictionary of Collocations 
L08-1540.1,large Czech MWE database
L08-1540.2,MWEs
L08-1540.3,lexical units
L08-1540.4,encyclopedias 
L08-1540.5,dictionaries
L08-1540.6,databases
L08-1540.7,proper names 
L08-1540.8,toponyms
L08-1540.9,collocations
L08-1540.10,Czech WordNet
L08-1540.11,botanical and zoological terms 
L08-1540.12,database
L08-1540.13,MWEs
L08-1540.14,MWEs database 
L08-1540.15,corpus data
L08-1540.16,Czech National Corpus 
L08-1540.17,MWEs 
L08-1540.18,corpus
L08-1540.19,MWEs
L08-1540.20,Word Sketch Engine
L08-1540.21,statistical parameters
L08-1540.22, MWEs 
L08-1540.23,salience
L08-1540.24,MWEs
L08-1540.25, database 
L08-1540.26,tagging
L08-1540.27,lemmatization
L08-1540.28,MWEs 
L08-1540.29,corpus text
L08-1540.30,lexical units
L08-1540.31,tagging
L08-1540.32,lemmatization 
L08-1110.1,statistical techniques
L08-1110.2,translations
L08-1110.3, graph 
L08-1110.4,translation hypotheses
L08-1110.5,hypotheses graph
L08-1110.6,shallow mapping 
L08-1110.7,permutation rules
L08-1110.8,nodes 
L08-1110.9,vectors representing morpho-syntactic properties
L08-1110.10,words 
L08-1110.11,phrases
L08-1110.12,statistical feature functions
L08-1110.13,vector components
L08-1110.14,feature functions
L08-1110.15,text
L08-1110.16,log-linear combination 
L08-1110.17,translation paths
L08-1110.18,graph
L08-1110.19,language modelling toolkits
L08-1110.20,CMU
L08-1110.21,SRI toolkit 
L08-1110.22,word-lemma based feature function models 
L08-1110.23,token-based models
L08-1110.24,PoS-tag feature function 
L08-1110.25,word-lemma model
L08-1110.26,weights 
L08-1110.27,lexical translations
L08-1110.28,training material 
L08-1110.29,texts
L08-1154.1,term candidates
L08-1154.2,internal and contextual information 
L08-1154.3,domain specific terms
L08-1154.4,features
L08-1154.5,terms 
L08-1154.6,non-terms
L08-1154.7,features
L08-1154.8,features
L08-1154.9,term extraction
L08-1154.10,delimiters 
L08-1154.11,term frequency 
L08-1154.12,hard rules 
L08-1154.13,terms
L08-1154.14,domain knowledge
L08-1154.15, training 
L08-1154.16,domains
L08-1154.17,domains
L08-1154.18,resource-limited domains
L08-1154.19,domains 
L08-1154.20,Chinese term extraction
L08-1154.21,new term extraction 
L08-1154.22, domain lexicon expansion
L08-1050.1,language corpus annotation scenario 
L08-1050.2,discourse relations
L08-1050.3, Czech
L08-1050.4,syntactically motivated relations 
L08-1050.5,discourse
L08-1050.6,Prague Dependency Treebank 2.0
L08-1050.7,Penn Discourse Treebank 2
L08-1050.8, syntactico-semantic (tectogrammatical) annotation 
L08-1050.9,Prague Dependency Treebank
L08-1050.10,sentence-boundary-crossing representation 
L08-1050.11,discourse level
L08-1050.12,annotation
L08-1050.13,Praguian dependency-based approach
L08-1050.14,Penn discourse annotation
L08-1050.15,discourse connectives
L08-1097.1,unsupervised automatic acquisition 
L08-1097.2,Italian and English verb subcategorization frames (SCFs) 
L08-1097.3,general and domain corpora
L08-1097.4,syntactically shallow-parsed corpora 
L08-1097.5,search heuristics
L08-1097.6,lexico-syntactic knowledge
L08-1097.7, SCFs
L08-1097.8, state-of-the-art lexical acquisition systems
L08-1097.9,verbs 
L08-1097.10,SCFs distributions
L08-1097.11,similar semantic properties 
L08-1097.12,verbs
L08-1097.13,frames 
L08-1097.14,distribution
L08-1097.15, Minimum Description Length Principle (MDL)
L08-1097.16,Italian verbs 
N04-2005.1,translation
N04-2005.2,English text
N04-2005.3,American Sign Language (ASL) animation 
N04-2005.4,traditional MT architectural designs
N04-2005.5,semantic representation 
N04-2005.6,virtual reality 3D scene modeling software
N04-2005.7,spatially complex ASL phenomena
N04-2005.8, classifier predicates
N04-2005.9,interlingua
N04-2005.10,multi-pathway MT architecture design
N04-2005.11,transfer 
N04-2005.12,direct approaches
A92-1010.1,cognitively well-motivated interfaces 
A92-1010.2,display of graphical information
A92-1010.3,graphical information
A92-1010.4,information
A92-1010.5,information 
A92-1010.6,natural language generation 
A92-1010.7,interaction
H94-1064.1,multilingual, speaker-independent, large vocabulary speech dictation
H94-1064.2,LIMSI recognizer 
H94-1064.3,ARPA NOV93 CSR test
H94-1064.4,WSJ and BREF corpora
H94-1064.5,corpora
H94-1064.6,word recognition experiments
H94-1064.7, vocabularies 
H94-1064.8,words
H94-1064.9,continuous density HMM 
H94-1064.10,Gaussian mixture
H94-1064.11,acoustic modeling 
H94-1064.12,n-gram statistics
H94-1064.13, newspaper texts 
H94-1064.14,language modeling
H94-1064.15,time-synchronous graph-search strategy 
H94-1064.16, bigram back-off language models
H94-1064.17,forward pass
H94-1064.18,word graph
H94-1064.19, bigram
H94-1064.20,trigram language model
H94-1064.21,Acoustic modeling 
H94-1064.22,cepstrum-based features
H94-1064.23, context-dependent phone models (intra and interword)
H94-1064.24,phone duration models
H94-1064.25,sex-dependent models
A00-1024.1,system for categorizing unknown words
A00-1024.2,system 
A00-1024.3,multi-component architecture
A00-1024.4,component 
A00-1024.5,unknown words
A00-1024.6,components
A00-1024.7, names 
A00-1024.8,spelling errors
A00-1024.9,component
A00-1024.10,decision tree architecture
A00-1024.11,evidence 
A00-1024.12,unknown word
A00-1024.13,system
A00-1024.14,live closed captions
A00-1024.15,unknown words
X96-1059.1,Recognition of proper nouns
X96-1059.2,Japanese text
X96-1059.3,morphological analysis 
X96-1059.4,Japanese text processing
X96-1059.5,Japanese information extraction
X96-1059.6,Japanese text
X96-1059.7,morphological analysis problem
X96-1059.8,Japanese
X96-1059.9,morphological analyzer
X96-1059.10,recognition and classification of proper names, numerical and temporal expressions, i.e. Named Entity (NE) items 
X96-1059.11,Japanese text
X96-1059.12,analyzer
X96-1059.13,NE items
X96-1059.14,dictionary lookup 
X96-1059.15,rule application
X96-1059.16,dictionaries 
X96-1059.17,Japanese character strings
X96-1059.18,dictionary lookup stage
X96-1059.19,rules 
X96-1059.20,segmented strings
X96-1059.21,NE items
X96-1059.22,segment
X96-1059.23,NE item
X96-1059.24, segment 
H05-1041.1,practically unsupervised learning method
H05-1041.2,single-snippet answers 
H05-1041.3,definition questions
H05-1041.4,question answering systems 
H05-1041.5,Web search engines
H05-1041.6,on-line encyclopedias and dictionaries 
H05-1041.7,positive and negative definition examples
H05-1041.8,svm
H05-1041.9,system
H05-1041.10,questions 
H05-1041.11,news articles from trec
H05-1041.12,search engine 
H05-1041.13,definition questions
W02-1403.1,Terminology structuring
W02-1403.2,terms
W02-1403.3,corpora
W02-1403.4,terms
W02-1403.5,corpus
W02-1403.6,hierarchical (or other types of) relations 
W02-1403.7,terms
W02-1403.8,terminology structuring 
W02-1403.9,lexical methods
W02-1403.10,terms 
W02-1403.11,content words
W02-1403.12,morphological variants 
W02-1403.13,terms
W02-1403.14,hierarchically-structured terminology
W02-1403.15,US National Library of Medicine MeSH thesaurus
W02-1403.16,lexically-induced relations
W02-1403.17,MeSH relations
W02-1403.18,recall and precision metrics
W02-1403.19,relations
W02-1403.20,MeSH
W02-1403.21,lexical structuring method
W02-1403.22,naming conventions
W02-1403.23,MeSH 
W02-1403.24, automatic structuring
W02-1404.1,knowledge-independent method
W02-1404.2,terms 
W02-1404.3,translations
W02-1404.4, small, domain-specific corpus 
W02-1404.5,parallel English and Chinese court judgments
W02-1404.6,sentence-aligned corpus
W02-1404.7,translation equivalences 
W02-1404.8,frequency profiles
W02-1404.9,parallel concordances
W02-1404.10,conventional statistical methods 
W02-1404.11,large corpora
W02-1404.12,lexical approaches 
W02-1404.13,bilingual dictionaries
W02-1404.14,parallel corpus 
W02-1404.15,Chinese words
W02-1404.16, English words 
W02-1404.17,precision
W02-1404.18, recall
W02-1404.19,algorithm
W02-1404.20,translation lexicon
W02-1404.21,legal terminology 
W02-1404.22,general terms
W02-1602.1,Coedition
W02-1602.2,natural language text
W02-1602.3,interlingual form 
W02-1602.4,text revision
W02-1602.5,languages
W02-1602.6,UNL graphs
W02-1602.7,prototype
W02-1602.8,sharing scenario
W02-1602.9,text 
W02-1602.10,language (L0)
W02-1602.11,graph
W02-1602.12,graph
W02-1602.13,UNL-L0 deconverter
W02-1602.14,graph
W02-1602.15,deconverter
W02-1602.16,graph
W02-1602.17,deconverters 
W02-1602.18,languages
W02-1602.19, languages 
W02-1602.20,tags
W02-1602.21, attributes 
W02-1602.22,original multilingual document
W02-1602.23,document
W02-1602.24,text
W02-1602.25,graph 
W02-1602.26,LO-English or better a L0-UNL dictionary
W02-1602.27,morphosyntactic parser of L0
W02-1602.28,canonical graph2tree transformation
W02-1602.29,UNL-tree+L0
W02-1602.30,MS-L0 structure
W02-1602.31,lattice
W02-1602.32,dictionary 
W02-1602.33,tree
W02-1602.34,trajectory 
W02-1602.35,crossing liaisons
W02-1602.36,pivot MT
W02-1602.37, interactive MT
W02-1602.38,multilingual text authoring
W03-0406.1,unsupervised learning method
W03-0406.2,Expectation-Maximization (EM) algorithm 
W03-0406.3,text classification problems
W03-0406.4,word sense disambiguation (WSD) problems
W03-0406.5,EM algorithm
W03-0406.6,optimum iteration number
W03-0406.7,noun WSD problems 
W03-0406.8,Japanese Dictionary Task in SENSEVAL2
W03-0406.9,verb WSD problems
W99-0408.1,user knowledge modeling architecture
W99-0408.2,ICICLE system
W99-0408.3,language tutoring application 
W99-0408.4,written English
W99-0408.5,language proficiency 
W99-0408.6,writing analysis 
W99-0408.7,feedback production
W99-0408.8, model design 
W99-0408.9,second language and cognitive skill acquisition
W99-0408.10,design
W99-0408.11,design 
W99-0408.12,robust information base
W99-0408.13,user proficiency
P98-1083.1,Japanese parsers
P98-1083.2,decision trees
P98-1083.3,decision tree 
P98-1083.4,modification probabilities
P98-1083.5,phrase 
P98-1083.6,boosting algorithm
P98-1083.7,decision trees
P98-1083.8,probability estimation
P98-1083.9,parsers 
P98-1083.10,EDR Japanese annotated corpus
P98-1083.11,conventional Japanese stochastic methods 
P98-1083.12,parsing accuracy 
P98-1083.13,training data
P98-1083.14,over-fitting to data
P98-1083.15, iterations
I08-1027.1,Automatic estimation
I08-1027.2,word significance
I08-1027.3,speech-based Information Retrieval (IR) 
I08-1027.4,significance
I08-1027.5, words 
I08-1027.6,IR
I08-1027.7,automatic speech recognition (ASR) performance 
I08-1027.8,weighted word error rate (WWER)
I08-1027.9,weight
I08-1027.10, IR
I08-1027.11,word error rate (WER)
I08-1027.12,words 
I08-1027.13,decoding strategy
I08-1027.14,WWER 
I08-1027.15,Minimum Bayes-Risk framework
I08-1027.16,ASR
I08-1027.17,IR
I08-1027.18,automatic estimation method
I08-1027.19,word significance (weights) 
I08-1027.20,IR
I08-1027.21,weights 
I08-1027.22,evaluation measures
I08-1027.23,ASR 
I08-1027.24,IR
I08-1027.25,speech-based information retrieval system
I08-1027.26,IR system
I08-1043.1,method to automatically acquire paraphrases 
I08-1043.2,bilingual corpora
I08-1043.3, bilingual dependency relations 
I08-1043.4,monolingual dependency parse
I08-1043.5,statistical alignment techniques
I08-1043.6,paraphrasing method 
I08-1043.7,sense
I08-1043.8,phrase 
I08-1043.9,bilingual context
I08-1043.10,dependency relation
I08-1043.11,paraphrases 
I08-1043.12,context
I08-1043.13,generalized translation knowledge
I08-1043.14,paraphrases
I08-1043.15, generalized translation knowledge 
I08-1043.16,Korean-English translation
I08-1043.17,parallel corpora 
